"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"279",4,10707534,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707533,"Hamm, Rue de Bitbourg","",1,,,1,
"279",4,10707532,"Hamm, Rue de Bitbourg","",1,,,1,
"278",4,10706865,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706906,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",3,10706864,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706905,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",3,10706863,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706904,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",3,10706862,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706903,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706902,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",3,10706861,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706901,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706828,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792795,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706900,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706827,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706899,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792794,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706826,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706898,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706825,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792793,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706897,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706824,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706896,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792792,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706823,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706895,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706822,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792791,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706894,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706821,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706893,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792790,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706820,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706892,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706819,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792789,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706891,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706818,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792747,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706890,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706817,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706889,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706816,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792746,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706888,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706815,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792745,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706887,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706814,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706886,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706813,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792744,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706885,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706812,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792743,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706884,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706811,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706883,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706810,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792742,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706882,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706809,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792741,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706881,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706808,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706880,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706807,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792740,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706879,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706806,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792739,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706878,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706805,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",2,10706877,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",5,10706804,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
"278",6,10792738,"Limpertsberg, Lycée Michel Lucius","",0,,,1,
